,Event,Date,Result,Opponent,Magnus Color,a pawn,b pawn,c pawn,d pawn,e pawn,f pawn,g pawn,h pawn,queen-side rook,queen-side knight,queen-side bishop,queen,king,king-side bishop,king-side knight,king-side rook
49,Troll Masters,2002.01.05,1-0,"Johansson,P",White,3.0,1.0,2.0,3.0,4.0,1.0,3.414213562373095,2.0,13.0,4.47213595499958,8.485281374238571,10.485281374238571,14.071067811865476,8.485281374238571,2.23606797749979,8.0
50,Troll Masters,2002.01.06,1-0,"Womacka,M",Black,16.0,21.0,5.650281539872885,4.650281539872885,1.0,1.0,0,1.4142135623730951,37.0,2.23606797749979,16.14213562373095,9.242640687119286,7.414213562373095,4.242640687119285,4.47213595499958,28.0
51,Troll Masters,2002.01.07,1-0,"Hoi,C",Black,5.242640687119285,3.414213562373095,2.0,2.0,4.650281539872885,0,6.8863495173726745,10.94427190999916,15.656854249492383,40.24922359499621,1.4142135623730951,15.594553449872045,8.414213562373096,2.8284271247461903,2.23606797749979,13.0
52,Troll Masters,2002.01.08,1/2-1/2,"Hole,O",White,0,2.0,2.0,3.0,3.414213562373095,0,0,0,9.0,13.416407864998739,7.0710678118654755,8.242640687119286,2.0,7.0710678118654755,2.23606797749979,4.0
53,Troll Masters,2002.01.08,0-1,"Rause,O",White,2.0,2.414213562373095,3.414213562373095,2.0,2.414213562373095,0,1.0,2.0,6.0,6.708203932499369,8.485281374238571,70.11269837220809,12.242640687119287,2.8284271247461903,2.23606797749979,16.0
54,Troll Masters,2002.01.09,1/2-1/2,"Hansen,TR",Black,1.0,1.4142135623730951,2.0,43.41421356237309,1.0,1.4142135623730951,15.0,19.414213562373096,0.0,33.54101966249685,2.8284271247461903,4.242640687119285,17.313708498984763,9.899494936611665,38.01315561749642,8.0
55,Troll Masters,2002.01.10,1/2-1/2,"Giddins,S",Black,1.0,2.0,1.0,5.414213562373095,1.0,0,0,0,2.0,2.23606797749979,1.4142135623730951,2.8284271247461903,0.0,0.0,2.23606797749979,0.0
56,Troll Masters,2002.01.11,1-0,"Bekker Jensen,Anders",White,0,4.414213562373095,3.414213562373095,2.0,2.0,3.0,0,0,8.0,4.47213595499958,9.899494936611665,5.0,2.0,2.8284271247461903,4.47213595499958,2.0
57,Classics GM,2002.04.11,1-0,"Tjomsland,S",White,0,2.0,4.0,3.0,4.414213562373095,0,2.0,1.0,12.0,4.47213595499958,5.656854249492381,27.798989873223338,3.0,11.31370849898476,17.88854381999832,6.0
58,Classics GM,2002.04.12,1-0,"Kotronias,V",Black,3.0,2.8284271247461903,5.650281539872885,2.0,7.0,2.0,0,1.0,12.0,2.23606797749979,5.656854249492381,9.65685424949238,4.82842712474619,15.556349186104047,4.47213595499958,6.414213562373095
59,Classics GM,2002.04.13,0-1,"Lie,K",White,3.0,0.0,0.0,2.0,2.0,3.0,2.414213562373095,2.414213562373095,22.0,6.708203932499369,28.28427124746191,7.0710678118654755,15.142135623730955,4.242640687119286,4.47213595499958,7.0
60,Classics GM,2002.04.14,1-0,"Arkell,K",Black,1.0,2.0,2.0,2.0,2.414213562373095,6.708203932499369,1.0,9.94427190999916,9.0,4.47213595499958,15.422980574618235,4.47213595499958,3.414213562373095,10.899494936611665,2.23606797749979,11.0
61,Classics GM,2002.04.15,0-1,"Kulaots,K",White,0,0.0,2.0,2.0,2.0,0,0,0,4.0,4.47213595499958,9.899494936611665,12.071067811865476,2.0,5.65685424949238,6.708203932499369,0.0
62,Classics GM,2002.04.15,1-0,"Royset,P",White,0,3.0,3.414213562373095,3.0,3.414213562373095,2.0,0,0,10.0,4.47213595499958,11.313708498984761,16.899494936611667,4.82842712474619,11.313708498984761,4.47213595499958,3.0
63,Classics GM,2002.04.16,1-0,"Ostenstad,B",Black,1.0,3.0,3.0,10.485281374238571,2.0,2.8284271247461903,1.4142135623730951,3.82842712474619,12.0,22.360679774997898,4.242640687119286,12.071067811865476,8.82842712474619,4.242640687119286,2.23606797749979,9.0
64,Classics GM,2002.04.17,0-1,"Bluvshtein,M",White,4.0,0.0,1.0,2.0,3.414213562373095,0,1.4142135623730951,0,9.0,6.708203932499369,7.0710678118654755,77.42640687119285,12.485281374238571,11.31370849898476,6.708203932499369,19.0
65,Classics GM,2002.04.18,1/2-1/2,"Halkias,S",Black,0,1.0,0.0,1.0,3.414213562373095,2.0,3.414213562373095,1.0,4.0,2.23606797749979,2.8284271247461903,6.65685424949238,3.0,7.0710678118654755,6.708203932499369,0.0
66,TCh-NOR Finals,2002.05.08,0-1,"Glenne,BE",Black,0,0.0,3.414213562373095,4.82842712474619,2.414213562373095,2.0,3.0,4.414213562373095,14.0,17.200058016357435,2.8284271247461903,3.0,5.82842712474619,9.071067811865476,15.652475842498529,16.242640687119284
67,TCh-NOR Finals,2002.05.09,0-1,"Hansen,Vi",Black,0,8.0,16.071067811865476,3.82842712474619,0.0,0,1.0,1.4142135623730951,11.414213562373096,10.122417494872465,7.071067811865475,28.213203435596427,2.0,14.313708498984763,29.88854381999832,15.0
68,TCh-NOR Finals,2002.05.10,1/2-1/2,"Aarland,SA",White,2.0,3.414213562373095,3.414213562373095,3.414213562373095,2.0,2.414213562373095,1.4142135623730951,2.0,14.0,4.47213595499958,22.62741699796952,6.656854249492381,20.142135623730955,2.8284271247461903,13.416407864998739,11.0
69,TCh-NOR Finals,2002.05.11,1-0,"Trygstad,K",White,4.414213562373095,1.0,3.414213562373095,2.0,3.0,3.414213562373095,3.0,2.0,7.0,4.47213595499958,14.142135623730951,7.242640687119285,2.0,1.4142135623730951,11.180339887498949,7.0
70,TCh-NOR Finals,2002.05.12,1-0,"Hole,O",Black,6.47213595499958,7.414213562373095,8.242640687119284,3.0,2.0,2.0,17.0,3.0,6.0,4.47213595499958,13.31370849898476,4.414213562373095,19.899494936611667,33.48528137423857,4.47213595499958,35.0
71,Magnus vs. the Net,2002.05.15,1/2-1/2,The Net,White,3.414213562373095,0.0,5.414213562373095,3.414213562373095,2.0,3.82842712474619,0,0,1.0,8.94427190999916,2.8284271247461903,2.414213562373095,2.0,9.899494936611667,4.47213595499958,7.0
72,IV Shakkinet A,2002.06.24,0-1,"Sammalvuo,T",White,1.0,1.4142135623730951,3.414213562373095,3.414213562373095,1.0,0,0,1.0,10.0,11.180339887498949,7.0710678118654755,20.899494936611667,3.414213562373095,2.8284271247461903,4.47213595499958,5.0
73,IV Shakkinet A,2002.06.25,1-0,"Nyysti,S",White,1.0,2.0,0.0,4.0,4.414213562373095,3.82842712474619,4.414213562373095,0,10.0,6.708203932499369,2.8284271247461903,15.828427124746192,2.0,7.071067811865475,4.47213595499958,8.0
74,IV Shakkinet A,2002.06.26,1/2-1/2,"Norri,J",Black,13.242640687119286,4.0,38.01315561749642,57.41421356237309,4.82842712474619,4.414213562373095,53.0,25.313708498984763,41.30495168499705,6.708203932499369,5.65685424949238,3.0,22.48528137423857,7.0710678118654755,11.180339887498949,97.0
75,IV Shakkinet A,2002.06.27,0-1,"Payen,A",White,2.0,5.414213562373095,2.0,2.0,2.414213562373095,1.0,3.414213562373095,1.0,23.0,2.23606797749979,7.0710678118654755,7.0710678118654755,14.071067811865476,14.142135623730951,6.708203932499369,7.0
76,IV Shakkinet A,2002.06.28,1-0,"Solozhenkin,E",Black,2.0,4.414213562373095,2.0,3.414213562373095,1.0,15.0,2.414213562373095,11.0,40.0,30.65247584249853,9.071067811865476,29.041630560342618,7.65685424949238,31.112698372208094,13.416407864998739,12.0
77,IV Shakkinet A,2002.06.29,1/2-1/2,"Karttunen,M",White,2.0,4.414213562373095,4.414213562373095,1.0,2.0,0,3.414213562373095,0,2.0,6.708203932499369,8.485281374238571,33.04163056034261,3.0,7.0710678118654755,8.94427190999916,31.0
78,IV Shakkinet A,2002.06.30,1-0,"Maki Uuro,Mi",Black,42.0,34.41421356237309,2.0,2.0,32.82842712474619,20.414213562373096,17.071067811865476,19.48528137423857,69.0,6.708203932499369,8.485281374238571,0.0,22.071067811865476,65.31370849898477,4.47213595499958,4.0
79,IV Shakkinet A,2002.07.01,1-0,"Hjelm,N",White,3.0,3.0,2.0,2.414213562373095,2.0,2.0,2.414213562373095,2.0,19.0,6.708203932499369,19.798989873223334,0.0,16.72792206135786,12.727922061357855,8.94427190999916,11.0
80,IV Shakkinet A,2002.07.02,1-0,"Tiitta,S",Black,1.0,0.0,7.242640687119285,7.47213595499958,5.414213562373095,7.82842712474619,2.0,4.82842712474619,19.242640687119287,6.8863495173726745,1.4142135623730951,27.071067811865476,6.82842712474619,1.4142135623730951,6.708203932499369,7.0
81,IV Shakkinet A,2002.07.03,1-0,"Hansen,Vi",White,0,0.0,2.0,4.0,3.414213562373095,4.414213562373095,0,0,0.0,8.94427190999916,5.656854249492381,13.656854249492381,2.0,12.727922061357857,6.708203932499369,2.0
82,IV Shakkinet A,2002.07.04,1-0,"Agopov,M",Black,2.0,1.0,5.650281539872885,2.0,9.82842712474619,1.4142135623730951,0,1.0,11.0,6.708203932499369,7.0710678118654755,8.65685424949238,4.82842712474619,14.142135623730951,10.714776642118865,6.0
83,ch-NOR,2002.07.07,1/2-1/2,"Hansen,Vi",Black,3.0,8.82842712474619,3.82842712474619,2.0,2.0,0,0,1.0,12.0,4.47213595499958,8.485281374238571,15.485281374238571,2.0,2.8284271247461903,4.47213595499958,21.0
84,Open,2002.07.20,0-1,"Instefjord,Stian",Black,1.0,3.0,12.358485472372255,1.0,1.0,3.414213562373095,0,0,5.0,4.47213595499958,10.899494936611667,12.071067811865476,2.0,1.4142135623730951,15.652475842498529,10.0
85,Open,2002.07.21,0-1,"Fyllingen,R",White,1.0,1.4142135623730951,4.82842712474619,3.414213562373095,2.0,3.414213562373095,1.0,1.0,17.0,4.47213595499958,12.727922061357855,9.485281374238571,3.0,7.0710678118654755,11.180339887498949,11.0
86,Open,2002.07.22,0-1,"Ellingsen,R",Black,3.0,2.0,12.358485472372255,4.414213562373095,4.82842712474619,0,1.0,1.0,20.0,4.47213595499958,5.242640687119286,9.82842712474619,2.0,11.313708498984761,5.47213595499958,9.0
87,Open,2002.07.23,0-1,"Anagnostopoulos,D",White,0,0.0,0.0,2.0,3.414213562373095,1.0,0,0,4.0,4.47213595499958,8.485281374238571,15.899494936611664,2.0,5.65685424949238,6.708203932499369,0.0
88,Open,2002.07.24,0-1,"Sander,R",Black,1.0,3.414213562373095,0.0,2.0,5.242640687119285,1.0,0,0,8.0,6.708203932499369,15.727922061357855,9.0,2.0,7.0710678118654755,8.94427190999916,2.0
89,Open,2002.07.25,1/2-1/2,"Christenson,F",White,0,1.0,2.0,2.0,2.0,0,1.0,0,4.0,4.47213595499958,2.8284271247461903,41.698484809835,2.0,5.656854249492381,8.94427190999916,18.0
90,Open,2002.07.26,1/2-1/2,"Lahlum,H",Black,3.414213562373095,2.0,1.0,2.0,1.0,2.0,0,0,14.0,11.180339887498949,19.727922061357855,4.414213562373095,3.0,11.313708498984761,14.70820393249937,7.0
91,Open,2002.07.27,1-0,"Manne,P",White,2.0,1.0,2.0,3.414213562373095,3.414213562373095,0,1.0,0,3.0,6.708203932499369,7.0710678118654755,15.556349186104047,2.0,1.4142135623730951,4.47213595499958,2.0
92,Open,2002.07.28,1-0,"Yakovich,Y",Black,0,1.0,4.414213562373095,2.0,2.414213562373095,2.0,0,7.0710678118654755,0.0,2.23606797749979,11.313708498984761,5.0,4.0,7.071067811865475,9.122417494872465,2.0
93,15th Open,2002.08.11,1-0,"Maeder,Torsten",White,1.0,0.0,0.0,2.0,2.0,0,0,0,12.0,2.23606797749979,8.485281374238571,15.142135623730953,3.0,8.485281374238571,15.652475842498529,0.0
94,15th Open,2002.08.11,1/2-1/2,"Kalinitschew,S",White,0,1.0,3.414213562373095,2.0,1.0,0,1.0,0,0.0,4.47213595499958,8.485281374238571,13.656854249492383,3.0,1.4142135623730951,4.47213595499958,2.0
95,15th Open,2002.08.12,0-1,"Hansen,Vi",Black,2.414213562373095,0.0,1.0,3.414213562373095,2.0,0,3.414213562373095,1.4142135623730951,15.0,6.708203932499369,8.48528137423857,2.8284271247461903,2.0,9.899494936611665,2.23606797749979,5.0
96,WYb12,2002.11.18,1-0,"Fodor,T",Black,0,0.0,4.82842712474619,5.650281539872885,1.0,0,2.414213562373095,0,4.0,4.47213595499958,16.727922061357855,10.65685424949238,2.0,11.31370849898476,11.180339887498949,7.0
97,WYb12,2002.11.19,1-0,"Bindrich,F",White,0,1.0,3.414213562373095,1.0,3.0,2.0,0,0,2.0,4.47213595499958,4.242640687119286,3.82842712474619,2.0,7.0710678118654755,6.708203932499369,3.0
98,WYb12,2002.11.21,0-1,"Berczes,D",Black,2.0,1.0,3.0,5.650281539872885,1.4142135623730951,25.414213562373096,5.414213562373095,3.0,3.0,26.832815729997478,8.48528137423857,18.89949493661167,12.071067811865476,13.727922061357859,7.708203932499369,31.0
99,WYb12,2002.11.21,1/2-1/2,"Nepomniachtchi,I",White,3.0,1.4142135623730951,2.0,4.414213562373095,3.0,0,1.0,0,0.0,2.23606797749979,7.0710678118654755,20.899494936611667,2.0,9.899494936611667,8.94427190999916,6.0
100,WYb12,2002.11.22,0-1,"Susilodinata,A",Black,5.0,0.0,7.0,1.0,3.414213562373095,0,1.0,0,0.0,24.41640786499874,28.48528137423857,6.82842712474619,3.0,4.242640687119286,15.652475842498529,19.0
101,WYb12,2002.11.23,1-0,"Kuzubov,Y",White,0,0.0,0.0,2.0,2.0,0,0,0,4.0,8.94427190999916,7.0710678118654755,5.656854249492381,2.0,7.0710678118654755,4.47213595499958,3.0
102,WYb12,2002.11.24,1/2-1/2,"Howell,D",White,0,0.0,4.414213562373095,2.0,1.0,2.0,2.414213562373095,3.0,1.0,4.47213595499958,25.455844122715714,15.65685424949238,13.65685424949238,9.899494936611665,6.708203932499369,13.0
103,TCh-NOR Qualifier,2002.??.??,0-1,"Christensen,Kjeld",Black,1.0,1.0,4.414213562373095,6.242640687119285,3.82842712474619,0,1.0,2.0,5.0,2.23606797749979,1.4142135623730951,5.656854249492381,3.0,1.4142135623730951,9.122417494872465,4.0
104,TCh-NOR Qualifier,2002.??.??,1-0,"Gulbrandsen,Gustav",White,0,0.0,2.414213562373095,2.0,3.0,0,1.0,0,19.0,13.416407864998739,5.656854249492381,17.14213562373095,2.0,7.0710678118654755,4.47213595499958,7.0
105,TCh-NOR Qualifier,2002.??.??,1-0,"Runde,HA",White,0,0.0,0.0,1.0,3.414213562373095,0,2.414213562373095,4.414213562373095,9.0,8.94427190999916,5.656854249492381,19.313708498984763,1.0,5.656854249492381,6.708203932499369,9.0
106,TCh-NOR Qualifier,2002.??.??,0-1,"Osttveit,M",Black,0,6.82842712474619,3.0,2.0,3.414213562373095,0,1.0,0,3.0,5.06449510224598,1.4142135623730951,11.485281374238571,2.0,9.899494936611665,14.180339887498949,3.0
107,Troll Masters,2003.01.07,0-1,"Sander,R",Black,1.0,0.0,7.8863495173726745,3.414213562373095,1.0,0,0,3.414213562373095,8.0,4.47213595499958,1.4142135623730951,1.4142135623730951,2.0,16.970562748477143,7.3005630797457695,0.0
