Sector,Year,Sex,EarningsGel,Total
"Agriculture, forestry and fishing",2018,Female,654.80,701
Mining and quarrying,2018,Female,1103.70,1379.2
Manufacturing,2018,Female,655.80,929.6
"Electricity, gas, steam and air conditioning supply",2018,Female,1546.40,1506.9
"Water supply, sewerage, waste management and remediation activities",2018,Female,689.10,773.7
Construction,2018,Female,1033.60,1552
Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Female,746.20,950.9
Transportation and storage,2018,Female,976.20,1295.8
Accommodation and food service activities,2018,Female,729.70,824.6
Information and communication,2018,Female,1252.30,1489.1
Financial and insurance activities,2018,Female,1498.10,2236
Real estate activities,2018,Female,876.60,1106.2
"Professional, scientific and technical activities",2018,Female,1334.90,1712.2
Administrative and support service activities,2018,Female,734.20,802.1
Public administration and defence; compulsory social security,2018,Female,1178.20,1266.6
Education,2018,Female,576.80,596.4
Human health and social work activities,2018,Female,854.30,983.6
"Arts, entertainment and recreation",2018,Female,840.90,993.6
Other service activities,2018,Female,726.40,831.4
Total,2018,Male,1280.70,1068.3
"Agriculture, forestry and fishing",2018,Male,717.90,701
Mining and quarrying,2018,Male,1412.20,1379.2
Manufacturing,2018,Male,1081.20,929.6
"Electricity, gas, steam and air conditioning supply",2018,Male,1498.50,1506.9
"Water supply, sewerage, waste management and remediation activities",2018,Male,807.40,773.7
Construction,2018,Male,1610.90,1552
Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Male,1128.60,950.9
Transportation and storage,2018,Male,1383.60,1295.8
Accommodation and food service activities,2018,Male,938.90,824.6
Information and communication,2018,Male,1670.20,1489.1
Financial and insurance activities,2018,Male,3446.70,2236
Real estate activities,2018,Male,1225.80,1106.2
"Professional, scientific and technical activities",2018,Male,2079.30,1712.2
Administrative and support service activities,2018,Male,837.60,802.1
Public administration and defence; compulsory social security,2018,Male,1304.40,1266.6
Education,2018,Male,663.30,596.4
Human health and social work activities,2018,Male,1337.10,983.6
"Arts, entertainment and recreation",2018,Male,1136.90,993.6
Other service activities,2018,Male,972.50,831.4
Total,2019,Female,869.10,1129.5
"Agriculture, forestry and fishing",2019,Female,605.70,704.4
Mining and quarrying,2019,Female,1033.00,1385.2
Manufacturing,2019,Female,733.50,1037.3
"Electricity, gas, steam and air conditioning supply",2019,Female,1709.00,1560.1
"Water supply, sewerage, waste management and remediation activities",2019,Female,668.60,816.9
Construction,2019,Female,1110.60,1631.1
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,Female,735.10,970.8
Transportation and storage,2019,Female,966.10,1381.9
Accommodation and food service activities,2019,Female,709.50,851
Information and communication,2019,Female,1295.60,1621
Financial and insurance activities,2019,Female,1533.70,2030.2
Real estate activities,2019,Female,926.50,1193
"Professional, scientific and technical activities",2019,Female,1393.90,1896
Administrative and support service activities,2019,Female,768.70,853.5
Public administration and defence; compulsory social security,2019,Female,1404.50,1420.8
Education,2019,Female,630.60,652
Human health and social work activities,2019,Female,917.80,1049.5
"Arts, entertainment and recreation",2019,Female,990.60,1130.1
Other service activities,2019,Female,658.00,771.2
Total,2019,Male,1361.80,1129.5
"Agriculture, forestry and fishing",2019,Male,737.90,704.4
Mining and quarrying,2019,Male,1429.30,1385.2
Manufacturing,2019,Male,1210.00,1037.3
"Electricity, gas, steam and air conditioning supply",2019,Male,1527.80,1560.1
"Water supply, sewerage, waste management and remediation activities",2019,Male,879.40,816.9
Construction,2019,Male,1692.00,1631.1
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,Male,1173.70,970.8
Transportation and storage,2019,Male,1513.80,1381.9
Accommodation and food service activities,2019,Male,1079.70,851
Information and communication,2019,Male,1867.90,1621
Financial and insurance activities,2019,Male,2849.70,2030.2
Real estate activities,2019,Male,1363.70,1193
"Professional, scientific and technical activities",2019,Male,2296.40,1896
Administrative and support service activities,2019,Male,905.80,853.5
Public administration and defence; compulsory social security,2019,Male,1427.30,1420.8
Education,2019,Male,725.70,652
Human health and social work activities,2019,Male,1416.00,1049.5
"Arts, entertainment and recreation",2019,Male,1261.30,1130.1
Other service activities,2019,Male,951.60,771.2
