Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Countries
Iteri,Severely endangered,90,-4.0807,141.5039,Papua New Guinea
Ngarinyin,Definitely endangered,90,-16.9096,125.4199,Australia
Repanbitip,Definitely endangered,90,-16.3155,167.6026,Vanuatu
Tofanma,Vulnerable,90,-3.5675,140.7925,Indonesia
Taiap,Severely endangered,89,-4.1,144.5,Papua New Guinea
Kusunda,Critically endangered,87,27.9275,84.2866,Nepal
Patamona (Brazil),Vulnerable,87,4.5216,-60.3808,Brazil
Xiri,Critically endangered,87,-31.3924,21.0498,South Africa
Narau,Severely endangered,85,-3.3818,139.8202,Indonesia
Ak,Severely endangered,83,-3.6093,141.6604,Papua New Guinea
Araona,Severely endangered,81,-12.4473,-68.1372,Bolivia
Ari,Severely endangered,80,-8,142.4,Papua New Guinea
Assiniboine (Canada),Critically endangered,80,50.3536,-103.4841,Canada
Dorro,Severely endangered,80,-9.1834,141.8994,Papua New Guinea
Gong,Severely endangered,80,15.088,99.523,Thailand
Itik,Vulnerable,80,-2.3181,139.148,Indonesia
Mari,Severely endangered,80,-9.0478,141.8994,Papua New Guinea
Pwapwa,Severely endangered,80,-20.8074,164.5367,New Caledonia
Somm,Definitely endangered,80,-6.1296,146.4642,Papua New Guinea
Tobati,Severely endangered,80,-2.6059,140.7997,Indonesia
Moré,Critically endangered,76,-12.0822,-64.9731,Bolivia
Mores,Severely endangered,75,-15.3583,166.8988,Vanuatu
Musan,Severely endangered,75,-4.0355,141.361,Papua New Guinea
Papi,Severely endangered,75,-4.5,142,Papua New Guinea
Sarcee,Critically endangered,75,50.9682,-114.3851,Canada
Sekani,Critically endangered,75,58.0952,-122.7067,Canada
Arawun,Severely endangered,73,-5.5093,145.8929,Papua New Guinea
Siriano (Brazil),Vulnerable,71,0.5244,-67.5,Brazil
Teko,Severely endangered,71,15.6582,-92.1427,Mexico
Anus,Severely endangered,70,-2.1268,139.5126,Indonesia
Awera,Vulnerable,70,-2.7084,136.0395,Indonesia
Boruca,Critically endangered,70,9.001,-83.323,Costa Rica
Doutai,Severely endangered,70,-3.2282,138.2189,Indonesia
East Cape Yupik,Critically endangered,70,66.0166,-169.7166,Russia
Iresim,Severely endangered,70,-3.6011,135.1428,Indonesia
Mafea,Definitely endangered,70,-15.4219,167.2366,Vanuatu
Vilamovian,Severely endangered,70,49.7909,18.762,Poland
Western Chocho,Severely endangered,70,17.7486,-97.4409,Mexico
Yankunytjatjara,Definitely endangered,70,-27.3132,132.0666,Australia
Yanyuwa,Severely endangered,70,-15.9613,136.3842,Australia
Yapunda,Severely endangered,69,-3.5,142.4,Papua New Guinea
Bothar,Severely endangered,68,-9.0695,141.155,Papua New Guinea
Kari'ña (Brazil),Definitely endangered,66,4.0067,-51.6027,Brazil
