Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Countries
Suret,Definitely endangered,240000,36.4477,43.2971,"Armenia, Iran, Iraq, Syria, Turkey"
Malto,Definitely endangered,224926,23.7853,85.4736,India
Khowar,Vulnerable,222800,35.8667,71.7956,Pakistan
Maiya,Vulnerable,220000,35.3151,72.908,Pakistan
Komi,Definitely endangered,217316,62.3087,51.5917,Russia
Alpine Provençal,Definitely endangered,200000,44.7467,6.6796,"France, Italy"
Gallo,Severely endangered,200000,47.931,-2.0544,France
Gera,Vulnerable,200000,10.5553,10.0579,Nigeria
Irula,Vulnerable,200000,11.4369,76.5032,India
Kharia,Vulnerable,200000,21.8003,85.4956,India
Khorasani Turk,Vulnerable,200000,36.6596,57.854,Iran
Korku,Vulnerable,200000,20.3034,80.2441,India
Moksha,Definitely endangered,200000,54.1817,43.2751,Russia
Western Armenian (Middle East),Definitely endangered,200000,33.884,35.5133,"Iraq, Lebanon, Syria"
Western Cham,Vulnerable,200000,12.0333,105.4333,Cambodia
Tshangla,Vulnerable,193000,27.1275,91.9335,"Bhutan, China, India"
Thado,Vulnerable,191000,24.4521,93.2354,India
Gagauz (Bessarabia),Definitely endangered,180000,46.0922,28.7951,"Moldova, Ukraine"
Kului,Definitely endangered,170770,31.4403,77.1487,India
Adi,Vulnerable,170000,28.3527,95.2294,"China, India"
Lhota,Vulnerable,170000,26.1603,94.3725,India
Nyishi,Vulnerable,170000,27.5277,93.0981,India
Ngäbere (Panama),Vulnerable,169130,9.3395,-82.2428,Panama
Kodagu,Definitely endangered,166187,11.6952,75.9375,India
Corsican,Definitely endangered,160000,42.0819,9.0307,"France, Italy"
Dzongkha,Vulnerable,160000,27.44,89.6731,Bhutan
Kalmyk,Definitely endangered,153602,46.2026,45.8239,Russia
Lak,Vulnerable,153373,42.0125,47.2521,Russia
Asturian-Leonese,Definitely endangered,150000,42.7954,-5.6689,"Spain, Portugal"
Latgalian,Vulnerable,150000,56.1822,27.1362,"Latvia, Russia"
Provençal,Severely endangered,150000,43.5485,6.1083,France
Rabha,Vulnerable,150000,25.9284,90.9777,India
Tamzabit,Vulnerable,150000,32.4816,3.6694,Algeria
Sherpa,Vulnerable,143693,27.739,86.839,"China, India, Nepal"
Tangkhul,Vulnerable,142000,25.0358,94.4824,India
Q'aanjob'al,Vulnerable,139830,15.6019,-91.4441,Guatemala
Badaga,Definitely endangered,134514,11.3642,76.5266,India
Angami,Vulnerable,132000,25.7553,94.1308,India
Laz,Definitely endangered,130000,41.2736,41.2646,"Georgia, Turkey"
Tabasaran,Vulnerable,128391,41.8081,47.9882,Russia
Chambeali,Definitely endangered,126589,32.9072,76.5307,India
Abkhaz,Vulnerable,125000,43.133,40.8471,"Georgia, Russia, Turkey"
Phom,Vulnerable,123000,26.7799,94.9493,India
Kolami,Definitely endangered,121855,20.5093,78.1787,India
Navajo,Vulnerable,120000,35.8044,-108.475,United States of America
Sassarese,Definitely endangered,120000,40.6139,8.6132,Italy
Tamahaq (Algeria),Vulnerable,120000,22.8369,5.5371,Algeria
Konda,Definitely endangered,118597,18.2763,82.9385,India
Sierra Totonac,Severely endangered,118367,20.2461,-97.6586,Mexico
Jaunsari,Definitely endangered,114733,30.4859,78.0908,India
Dimasa,Vulnerable,112000,24.7368,92.9003,India
Ladakhi,Vulnerable,105000,34.0617,77.5909,"China, India"
Salar,Vulnerable,104503,36.2752,102.4584,China
Simi,Vulnerable,104000,25.9777,94.5922,India
Phurhepecha,Vulnerable,102988,19.3111,-102.041,Mexico
Crimean Tatar (Crimea),Severely endangered,100000,45.3212,34.3212,Ukraine
Dagur (Nonni),Definitely endangered,100000,47.9163,124.1235,China
Francoprovençal,Definitely endangered,100000,45.7828,6.9982,"France, Italy, Switzerland"
Gallurese,Definitely endangered,100000,40.8802,9.4482,Italy
Mapuche (Argentina),Severely endangered,100000,-40.0791,-71.0156,Argentina
Mehri,Definitely endangered,100000,16.5993,52.8057,"Oman, Yemen"
Miskito (Nicaragua),Vulnerable,100000,12.4001,-83.7332,Nicaragua
Ordos,Definitely endangered,100000,39.1641,108.1054,China
Quechua of Northern Bolivia,Vulnerable,100000,-15.3649,-69.0518,Bolivia
Suba,Vulnerable,100000,-0.9942,34.519,"Kenya, Tanzania"
Garífuna (Honduras),Vulnerable,98000,15.6754,-88.1476,Honduras
Embera (Colombia),Vulnerable,95000,6.1624,-76.8383,Colombia
Kabui,Vulnerable,95000,24.7218,93.6584,India
Shughni,Vulnerable,95000,37.4879,71.5374,"Tajikistan, Afghanistan"
Permyak,Definitely endangered,94328,59.204,54.5361,Russia
Poqomchi',Vulnerable,92941,15.3757,-90.4288,Guatemala
Yimchungru,Vulnerable,92000,25.9629,94.9713,India
Nogay (Caucasus),Definitely endangered,90020,43.8028,46.2744,Russia
Heiban,Vulnerable,90000,10.8575,30.2371,Sudan
Quichua (Cañar and Azuay),Severely endangered,90000,-2.6577,-78.8378,Ecuador
Mezquital Otomí,Definitely endangered,88789,20.4831,-99.217,Mexico
Eastern Mazahua,Definitely endangered,88001,19.7129,-99.9515,Mexico
Burushaski,Vulnerable,87000,35.909,74.2153,Pakistan
Central Otomí,Definitely endangered,84593,19.4661,-99.5944,Mexico
Chokri,Vulnerable,84000,25.8691,94.7131,India
Sangtam,Vulnerable,84000,26.6032,94.9603,India
Ixil (Guatemala),Vulnerable,83574,15.4849,-91.0358,Guatemala
Achi',Vulnerable,82640,15.0845,-90.4888,Guatemala
Yem,Vulnerable,81613,7.6347,37.3205,Ethiopia
Mao,Vulnerable,81000,25.5027,94.2681,India
Arbëresh,Definitely endangered,80000,40.9321,14.8645,Italy
Lari,Definitely endangered,80000,27.8585,54.8547,Iran
Páez,Definitely endangered,80000,2.8237,-76.3117,Colombia
Quechua of Santiago del Estero,Definitely endangered,80000,-26.7848,-63.6767,Argentina
Svan,Definitely endangered,80000,43.0207,42.3193,Georgia
Tai Daeng,Vulnerable,80000,19.8833,104.6166,"Laos, Vietnam"
Taznatit,Severely endangered,80000,29.3413,0.3955,Algeria
Razihi,Definitely endangered,75000,16.8834,43.2655,Yemen
Wakhi,Definitely endangered,75000,37.1603,74.9047,"China, Pakistan, Tajikistan, Afghanistan"
Bishnupriya Manipuri Creole,Vulnerable,72899,24.297,92.4499,"Bangladesh, India"
Acheron,Severely endangered,70000,10.809,30.2453,Sudan
Maori,Vulnerable,70000,-38.4105,177.3632,New Zealand
Tai Neua,Vulnerable,70000,20.5166,104.3166,Laos
Bhadravahi,Definitely endangered,66918,33.5413,76.333,"India, Pakistan"
Kinnauri,Definitely endangered,65097,31.541,78.3764,India
Gallo-Sicilian,Definitely endangered,65000,38.0167,14.5994,Italy
Kurux (Bangladesh),Vulnerable,65000,25.8196,88.9672,Bangladesh
Tz'utujil,Definitely endangered,63237,14.6394,-91.2301,Guatemala
Chamorro,Vulnerable,62500,13.4323,144.7338,Guam
Ashaninka (Peru),Vulnerable,62468,-10.6929,-74.3444,Peru
Chang,Vulnerable,62000,26.2934,94.9493,India
Kuna (Panama),Vulnerable,61703,9.5983,-79.6334,Panama
Churahi,Definitely endangered,61199,33.1835,76.5747,India
Nruanghmei,Vulnerable,61000,24.9661,93.5375,India
Rengma,Vulnerable,61000,25.958,94.2462,India
Faroese,Vulnerable,60000,62.0112,-6.7785,Faroe Islands
Northern Tujia,Severely endangered,60000,28.828,109.5904,China
Torwali,Definitely endangered,60000,35.5833,72.5,Pakistan
Chuj (Guatemala),Vulnerable,59048,15.8259,-91.4783,Guatemala
Kachari,Definitely endangered,59000,25.2844,93.2189,India
Scottish Gaelic,Definitely endangered,58552,58.1011,-6.7675,United Kingdom of Great Britain and Northern Ireland
Sierra de Puebla Náhuatl,Definitely endangered,57189,19.6223,-97.8149,Mexico
Limonese Creole,Definitely endangered,55000,9.9916,-83.0316,Costa Rica
Kashubian,Severely endangered,53000,54.2267,18.1713,Poland
Khakas,Definitely endangered,52217,53.7746,90.3735,Russia
Parji,Critically endangered,51216,18.5629,82.8039,India
Arvanitika,Severely endangered,50000,38.1863,23.6096,Greece
Buryat (Cis-Baikal),Severely endangered,50000,52.7961,104.8809,Russia
Buryat (Manchuria),Definitely endangered,50000,49.8096,119.7509,"China, Mongolia"
Cuona Menba,Vulnerable,50000,26.8279,95.3623,"Bhutan, China, India"
Eastern Cham,Definitely endangered,50000,10.7833,108.0833,Vietnam
Hmar,Vulnerable,50000,24.577,93.3178,India
Huzhu Monguor,Severely endangered,50000,36.7608,102.4255,China
Paite,Vulnerable,50000,24.1968,93.3563,India
Quichua (Imbabura),Definitely endangered,50000,0.1757,-78.2006,Ecuador
Soqotri,Severely endangered,50000,12.5331,53.767,Yemen
Southern Altay,Definitely endangered,50000,51.069,86.5942,Russia
Transylvanian Saxon,Severely endangered,50000,46.214,24.2413,Romania
Turoyo,Severely endangered,50000,37.405,41.3745,"Syria, Turkey"
Võro-Seto,Definitely endangered,50000,57.8096,27.29,"Estonia, Russia"
West Greenlandic,Vulnerable,50000,64.1681,-51.7236,Greenland
Western Armenian (Turkey),Definitely endangered,50000,41.0213,28.9324,Turkey
Zaramo,Definitely endangered,50000,-6.922,39.2409,Tanzania
Zenatiya,Critically endangered,50000,35.5702,1.8099,Algeria
Papantla Totonac,Definitely endangered,49748,20.4477,-97.32,Mexico
Wancho,Vulnerable,49000,26.9759,95.4656,India
Bhumji,Vulnerable,47000,21.8003,86.8139,India
Cosung (China),Definitely endangered,47000,22.6833,102.6666,China
Cosung (Vietnam),Definitely endangered,47000,22.6166,102.75,Vietnam
Baheng (China),Vulnerable,45000,26.19,110.24,China
Lumun,Definitely endangered,45000,10.8387,30.0338,Sudan
Quichua (Loja),Severely endangered,45000,-3.6236,-79.2388,Ecuador
Chamling,Definitely endangered,44093,27.0499,86.7329,Nepal
Irish,Definitely endangered,44000,53.7876,-9.1845,"Ireland, United Kingdom of Great Britain and Northern Ireland"
Reshe,Vulnerable,44000,10.8791,4.6115,Nigeria
Sierra Otomí,Vulnerable,43468,20.1021,-97.622,Mexico
Phuthi,Definitely endangered,43000,-29.3791,28.2838,Lesotho
Rarotongan,Vulnerable,43000,-21.2343,-159.7837,Cook Is.
Khalaj,Vulnerable,42100,34.3751,50.3063,Iran
Dungan,Definitely endangered,41000,42.4518,78.4643,"Kazakhstan, Kyrgyzstan"
Kheza,Vulnerable,41000,25.6811,94.367,India
Jola-Kassa,Vulnerable,40850,13.1089,-15.8999,Senegal
Satār,Vulnerable,40260,26.5541,87.918,Nepal
Guaraní Boliviano,Vulnerable,40000,-20.1694,-63.8525,"Argentina, Bolivia"
Gutob,Vulnerable,40000,18.7086,83.5839,India
Kheng,Vulnerable,40000,27.0786,91.0272,Bhutan
Laro,Definitely endangered,40000,10.7685,29.902,Sudan
Minyong,Vulnerable,40000,28.2632,95.0537,India
Mru,Severely endangered,40000,21.7748,92.2741,Myanmar
Patani Malay,Vulnerable,40000,6.6482,100.0387,Thailand
"Quechua of Cajatambo, Pasco and northern Junín",Severely endangered,40000,-10.6147,-76.506,Peru
Quichua (Napo),Definitely endangered,40000,-0.6371,-77.1459,Ecuador
Tangsa,Vulnerable,40000,27.4059,96.427,India
Tetserret,Severely endangered,40000,15.4907,6.2072,Niger
Awajun,Vulnerable,39000,-4.3464,-77.8271,Peru
Khiamngan,Vulnerable,38000,26.0518,95.1031,India
Ngile,Severely endangered,38000,10.7901,29.8635,Sudan
Phunoi,Vulnerable,37311,21.6833,102.1,Laos
Lower Mixe,Vulnerable,37000,16.9616,-95.093,Mexico
Maram,Vulnerable,37000,25.185,93.9715,India
Western Mari,Severely endangered,36822,56.3317,46.5545,Russia
Chepang,Vulnerable,36807,27.7552,84.8144,Nepal
Chontal Tabasco,Severely endangered,36514,17.7607,-92.5936,Mexico
Muji,Definitely endangered,36500,23.6,102.7333,China
Akatek (Guatemala),Vulnerable,35763,15.5724,-91.4218,Guatemala
Huichol,Vulnerable,35724,22.65,-103.5833,Mexico
Romansh,Definitely endangered,35095,46.5777,9.6954,Switzerland
Apatani,Vulnerable,35000,27.5228,93.8177,India
Galo,Vulnerable,35000,28.1688,94.7433,India
Korwa,Vulnerable,35000,22.4922,84.1552,India
Shuar chicham,Definitely endangered,35000,-2.8826,-78.0303,Ecuador
Ticuna,Definitely endangered,35000,-4.3464,-70.0048,"Brazil, Colombia, Peru"
Wanka Quechua,Severely endangered,35000,-12.136,-75.2453,Peru
Sikuani,Vulnerable,34614,3.4256,-68.8183,"Colombia, Venezuela"
Jakaltek (Guatemala),Definitely endangered,34038,15.6685,-91.7111,Guatemala
Liangmai,Vulnerable,34000,25.2794,93.6694,India
Zeme,Vulnerable,34000,25.5027,93.5595,India
Highland Mazatec,Vulnerable,33859,18.1307,-96.8436,Mexico
Thangmi,Definitely endangered,33500,27.6969,86.0057,Nepal
Nocte,Vulnerable,33000,27.1618,95.7952,India
Mayo,Critically endangered,32869,26.9114,-109.6271,Mexico
Lauje,Vulnerable,32000,-0.4531,119.9816,Indonesia
Danuwar,Severely endangered,31849,26.9661,86.3223,Nepal
Sirmaudi,Critically endangered,31144,30.9823,77.1569,India
Abaza,Definitely endangered,31000,44.1556,41.9368,"Russia, Turkey"
Koch,Definitely endangered,31000,25.7603,90.3955,India
Amis,Vulnerable,30000,23.4456,121.4483,China
Biak,Vulnerable,30000,-0.3076,131.2207,Indonesia
Bumthang,Vulnerable,30000,27.492,90.7159,Bhutan
Burgenland Croatian,Definitely endangered,30000,47.8435,16.5179,"Austria, Hungary, Slovakia"
Dzhidi,Definitely endangered,30000,33.5139,48.0102,Iran
Judeo-Berber (Israel),Severely endangered,30000,31.6767,34.5684,Israel
Kham,Definitely endangered,30000,28.4321,82.9635,Nepal
Ladin,Definitely endangered,30000,46.5531,11.8597,Italy
Lepcha,Definitely endangered,30000,27.1153,88.4687,"Bhutan, India, Nepal"
Maonan,Vulnerable,30000,24.8341,107.577,China
"Mok (Myanmar, Thailand)",Definitely endangered,30000,21.7333,99.7666,"Myanmar, Thailand"
Moro,Definitely endangered,30000,10.8872,30.1904,Sudan
Mulam,Vulnerable,30000,24.6341,108.2895,China
North Saami,Definitely endangered,30000,68.9099,22.9394,"Finland, Norway, Russia, Sweden"
Quechua of Cajamarca,Severely endangered,30000,-7.1772,-78.673,Peru
Quichua (Pastaza),Definitely endangered,30000,-1.7575,-76.8603,Ecuador
Rushani,Definitely endangered,30000,37.8705,71.5979,"Tajikistan, Afghanistan"
Tagin,Vulnerable,30000,28.038,94.2022,India
Tialo,Vulnerable,30000,0.4888,120.8935,Indonesia
Tidikelt,Critically endangered,30000,26.8828,2.5488,Algeria
Toba,Definitely endangered,30000,-25.958,-59.0625,Argentina
Tundra Nenets,Definitely endangered,30000,67.5001,67.7856,Russia
Vojvodina Rusyn,Definitely endangered,30000,45.6351,19.1903,"Croatia, Serbia"
Wuse,Vulnerable,30000,24.878,109.1053,China
Agul,Definitely endangered,29399,41.7518,47.6875,Russia
Rutul,Definitely endangered,29383,41.5332,47.3181,"Azerbaijan, Russia"
Bateri,Definitely endangered,29000,34.9073,72.8675,Pakistan
Mzieme,Vulnerable,29000,25.6019,93.8891,India
Ghale,Vulnerable,28989,28.2501,84.718,Nepal
Sierra Popoluca,Vulnerable,28700,18.245,-94.76,Mexico
Kurux (Nepal),Vulnerable,28615,26.6032,87.2259,Nepal
Deori,Definitely endangered,28000,27.1911,94.1528,India
Soyaltepec Mazatec,Vulnerable,27524,18.2499,-96.3995,Mexico
Western Mazahua,Definitely endangered,27037,19.4372,-100.3552,Mexico
Sibe,Severely endangered,27000,43.6599,81.3427,China
Isthmus Náhuatl,Vulnerable,26632,18.2209,-94.8382,Mexico
Sunwar,Vulnerable,26611,27.3485,86.2337,Nepal
Mancagne,Vulnerable,26450,12.7743,-15.6967,Senegal
Gadaba,Critically endangered,26262,18.3858,82.7819,India
Banat Bulgarian,Definitely endangered,25000,45.4832,20.9069,"Romania, Serbia"
Csángó Hungarian,Severely endangered,25000,46.7925,27.1911,Romania
Koda,Vulnerable,25000,22.1263,87.0776,India
Minhe Monguor,Definitely endangered,25000,36.4919,102.6452,China
Miskito (Honduras),Vulnerable,25000,15.3393,-84.6034,Honduras
Olonetsian,Definitely endangered,25000,61.1273,32.8765,"Finland, Russia"
Saek,Definitely endangered,25000,19.3166,104.7833,"Laos, Thailand"
Sioux,Vulnerable,25000,43.0588,-102.5244,United States of America
Tamazight (Beni Iznassen),Definitely endangered,25000,34.7506,-2.1917,Morocco
Tsakhur,Definitely endangered,25000,41.6523,46.9775,"Azerbaijan, Russia"
Warao,Definitely endangered,25000,8.6027,-61.3806,"Guyana, Venezuela"
Majhi,Severely endangered,24664,27.9208,83.5082,Nepal
Jone,Definitely endangered,24000,34.5947,103.5653,China
Andi,Definitely endangered,23729,42.7308,46.2963,Russia
Guambiano,Definitely endangered,23462,2.6138,-76.3906,Colombia
Anal,Vulnerable,23000,24.1517,93.9385,India
Hawrami,Definitely endangered,23000,35.4259,46.2551,"Iran, Iraq"
Juang,Definitely endangered,23000,21.0742,85.6164,India
Tiwa,Definitely endangered,23000,25.7801,92.5927,India
Embera (Panama),Vulnerable,22485,8.1179,-77.7429,Panama
Ediamat,Vulnerable,22025,12.2621,-16.5289,Guinea-Bissau
Mara,Definitely endangered,22000,23.5237,92.9003,India
Maring,Vulnerable,22000,24.6769,94.3835,India
Polci cluster,Definitely endangered,22000,9.9742,9.3328,Nigeria
Sarikoli,Definitely endangered,22000,37.9463,75.1272,China
Krongo,Definitely endangered,21688,10.585,29.8883,Sudan
Ashtiani,Definitely endangered,21000,34.4861,51.0562,Iran
Khunsari,Definitely endangered,21000,32.8795,51.6796,Iran
Semnani,Definitely endangered,21000,34.8679,53.4924,Iran
Plains Cree,Vulnerable,20933,56.3544,-113.8345,Canada
Higher Reservoir Mazatec,Vulnerable,20665,18.158,-96.7045,Mexico
Chilchotla Mazatec,Vulnerable,20585,18.2934,-96.7029,Mexico
"Zapotec of the Valleys, middle northwest",Definitely endangered,20448,17.05,-96.6333,Mexico
Aluo,Definitely endangered,20000,25.9368,102.1839,China
Bangni,Vulnerable,20000,28.0331,93.0651,India
Bru,Definitely endangered,20000,15.3174,105.4938,Thailand
Cho-ca-nga-ca-kha,Definitely endangered,20000,27.4107,91.2277,Bhutan
Crimean Tatar (Dobruja),Severely endangered,20000,43.9414,28.3062,"Bulgaria, Romania"
Dhimal,Severely endangered,20000,26.6192,87.4635,Nepal
Griko (Salento),Severely endangered,20000,40.1578,18.2208,Italy
Kaiowá Guarani,Vulnerable,20000,-21.5812,-55.0759,Brazil
Karelian (Karelia),Definitely endangered,20000,63.0474,33.4616,"Finland, Russia"
Khoirao,Vulnerable,20000,25.2198,94.1583,India
Manchad,Vulnerable,20000,32.6578,77.5415,India
Mariupolitan Greek,Severely endangered,20000,47.1364,37.5444,Ukraine
Padam,Vulnerable,20000,28.2463,95.3668,India
Pemon (Venezuela),Vulnerable,20000,5.1347,-61.853,"Guyana, Venezuela"
Tacenwit,Vulnerable,20000,36.5703,2.2892,Algeria
Tangwang,Definitely endangered,20000,35.7643,102.8979,China
Western Neo-Aramaic,Definitely endangered,20000,33.8339,36.5405,Syria
Yaghnobi,Definitely endangered,20000,38.5632,68.4475,Tajikistan
Yaw,Definitely endangered,20000,21.6,94.8333,Myanmar
Yeyi,Definitely endangered,20000,-19.4562,23.2031,Botswana
Boro,Definitely endangered,19878,10.3581,35.0024,
Sorbian,Definitely endangered,19500,51.5001,14.4744,Germany
Biete,Definitely endangered,19000,25.6514,93.2409,India
Hrangkhol,Vulnerable,19000,24.1467,92.3071,India
Terena,Severely endangered,19000,-20.2841,-55.4638,Brazil
Kati,Definitely endangered,18700,35.3845,71.3177,"Pakistan, Afghanistan"
Kulung,Vulnerable,18686,27.518,86.9375,Nepal
Kaingang,Definitely endangered,18500,-28.1495,-52.4707,Brazil
Lowland Mazatec,Vulnerable,18389,18.0801,-96.5236,Mexico
Vafsi,Definitely endangered,18000,34.0867,49.8861,Iran
Bassari,Vulnerable,17910,12.4419,-12.6617,Senegal
Bayot,Vulnerable,17150,12.4218,-16.4149,Senegal
Pochuri,Vulnerable,17000,25.6712,94.779,India
Tamahaq (Libya),Definitely endangered,17000,24.9611,10.1733,Libya
Swampy Cree,Vulnerable,16685,53.9849,-97.7626,Canada
Koraga,Critically endangered,16665,11.6952,75.6738,India
Oyda,Vulnerable,16597,5.9438,36.6503,Ethiopia
Pangvali,Critically endangered,16285,33.4589,76.9152,India
Shipibo-Conibo,Definitely endangered,16085,-8.4289,-74.6411,Peru
Amba,Vulnerable,16000,0.6737,30.198,Uganda
Tsez,Definitely endangered,15356,42.2376,45.8734,Russia
Bonan,Definitely endangered,15000,36.089,102.843,China
Chrau,Definitely endangered,15000,10.5634,107.1496,Vietnam
Dari,Definitely endangered,15000,31.8402,54.1625,Iran
Dzala,Vulnerable,15000,27.7078,91.3623,Bhutan
Ersu,Definitely endangered,15000,28.7778,102.1277,China
Gangte,Definitely endangered,15000,24.1968,93.587,India
Gurdu-Mbaaru,Severely endangered,15000,9.7415,10.4534,Nigeria
Ha-lung Tibetan,Definitely endangered,15000,27.6831,87.8256,Nepal
Hlersu,Vulnerable,15000,24.3789,102.046,China
Juk,Definitely endangered,15000,15.3333,106.85,Laos
Kwama,Vulnerable,15000,9.5465,34.2059,Ethiopia
Laemae,Severely endangered,15000,26.4179,98.7758,China
Lavua,Definitely endangered,15000,18.4483,98.1848,Thailand
Macushi (Brazil),Vulnerable,15000,3.7765,-61.1279,Brazil
Nahali,Definitely endangered,15000,21.4735,74.0258,India
Naluo,Vulnerable,15000,26.5895,100.8506,China
Nyoe,Definitely endangered,15000,14.9102,104.6049,Thailand
O'odham (Akimel),Definitely endangered,15000,33.059,-112.0479,United States of America
O'odham (Tohono),Definitely endangered,15000,31.9186,-111.8798,United States of America
Paiwan,Vulnerable,15000,22.4313,120.7809,China
Rao,Definitely endangered,15000,25.871,107.0476,China
Semai,Severely endangered,15000,4.3039,101.445,Malaysia
Shatt,Severely endangered,15000,10.8117,29.7235,Sudan
Siwi,Definitely endangered,15000,29.1905,25.5322,Egypt
Tagargrent,Severely endangered,15000,30.9587,4.0209,Algeria
Tayurayt,Vulnerable,15000,36.5648,1.9061,Algeria
Totoli,Vulnerable,15000,0.8953,120.2838,Indonesia
Aruaco,Vulnerable,14799,10.0986,-73.5424,Colombia
Yakkha,Critically endangered,14648,27.1908,87.3358,Nepal
Kuruba,Critically endangered,14613,11.4369,76.3549,India
Tuamotuan,Definitely endangered,14400,-14.9354,-147.7455,Fr. Polynesia
Katla,Definitely endangered,14208,11.7329,29.3939,Sudan
Garífuna (Belize),Vulnerable,14061,17.1833,-88.5833,Belize
Thulung,Definitely endangered,14034,27.4534,86.6423,Nepal
Bawm,Definitely endangered,14000,22.1874,92.6477,"Bangladesh, India"
Guajajara,Vulnerable,14000,-4.8282,-46.8017,Brazil
Niuean,Definitely endangered,14000,-19.0491,-169.8706,Niue
Uhunduni,Vulnerable,14000,-4.2054,137.031,Indonesia
Gusilay,Vulnerable,13950,12.7019,-16.4382,Senegal
Xavante,Vulnerable,13303,-14.4832,-53.5305,Brazil
Dondo,Vulnerable,13000,0.747,120.4266,Indonesia
Khampti,Vulnerable,13000,27.8827,96.5093,India
Nalu,Definitely endangered,13000,10.9523,-14.7629,Guinea
Tagoi,Severely endangered,13000,10.8252,30.1657,Sudan
Karko,Definitely endangered,12986,11.964,29.4186,Sudan
San Mateo del Mar Huave,Vulnerable,12667,16.2,-94.9833,Mexico
Q'eqchi' (Belize),Vulnerable,12366,16.8107,-88.3999,Belize
Kadaru,Definitely endangered,12360,12.1789,30.2398,Sudan
Mazatlán Mazatec,Vulnerable,12340,18.033,-96.8999,Mexico
Badiaranke,Severely endangered,12205,12.4043,-13.5736,Guinea
Alune,Vulnerable,12000,-3.0637,128.3752,Indonesia
Bangani,Critically endangered,12000,29.8692,79.0686,India
Chamalal,Definitely endangered,12000,42.5712,46.0739,Russia
Chru,Vulnerable,12000,11.4666,109.05,Vietnam
Hill Miri,Definitely endangered,12000,27.7078,94.0374,India
Jinuo,Definitely endangered,12000,21.4758,101.3111,China
Muya,Vulnerable,12000,30.2593,101.7497,China
Samei,Severely endangered,12000,25.0756,103.0133,China
Tajio,Vulnerable,12000,-0.0954,120.0173,Indonesia
Tobada',Extinct,12000,-2.019,119.4708,Indonesia
Yurt Tatar,Definitely endangered,12000,46.3943,48.3288,Russia
Yaqui (Mexico),Vulnerable,11806,27.6436,-110.296,Mexico
Ch'orti' (Guatemala),Definitely endangered,11734,14.968,-89.2905,Guatemala
Filomeno Mata Totonac,Vulnerable,11710,20.198,-97.7022,Mexico
Northern Totonac,Critically endangered,11529,20.2741,-97.955,Mexico
Komo,Definitely endangered,11500,9.0804,34.0905,"Ethiopia, Sudan"
Tuwuli,Vulnerable,11400,7.0572,0.3845,Ghana
Poqomam,Definitely endangered,11273,14.6455,-89.7274,Guatemala
Idu,Definitely endangered,11101,28.6496,95.8419,"China, India"
Kari'ña (Venezuela),Severely endangered,11000,8.4941,-64.0942,Venezuela
Machiguenga,Definitely endangered,11000,-11.8888,-72.9052,Peru
Piaroa (Venezuela),Vulnerable,11000,4.5435,-66.7089,Venezuela
Tuvaluan,Definitely endangered,11000,-8.5049,179.187,Tuvalu
Waunana (Colombia),Vulnerable,11000,4.2806,-77.0581,Colombia
Noon,Vulnerable,10925,14.8173,-16.5234,Senegal
Sampang,Vulnerable,10810,27.257,86.9444,Nepal
Central Alaskan Yupik (2),Vulnerable,10400,61.4387,-160.4882,United States of America
Central Alaskan Yupik (Nuniak Island),Vulnerable,10400,59.8889,-166.289,United States of America
Bukiyip,Vulnerable,10304,-3.4256,143.0886,Papua New Guinea
Saparua,Definitely endangered,10216,-3.5757,128.6464,Indonesia
Darai,Severely endangered,10210,27.9264,84.331,Nepal
Bandial,Vulnerable,10125,12.5317,-16.1553,Senegal
Bongo,Definitely endangered,10084,6.1405,31.7999,Sudan
Northwestern Tarahumara,Vulnerable,10031,27.9169,-107.0552,Mexico
Algherese Catalan,Definitely endangered,10000,40.5638,8.3276,Italy
Aragonese,Definitely endangered,10000,42.2935,-0.4394,Spain
Baima,Vulnerable,10000,33.1531,103.8696,China
Bukharic,Definitely endangered,10000,39.8043,64.4224,Uzbekistan
Bunun,Vulnerable,10000,23.3624,121.1077,China
Burunge,Vulnerable,10000,-4.7297,35.7769,Tanzania
Chayahuita,Definitely endangered,10000,-5.3425,-76.6955,Peru
Cherokee (Oklahoma),Definitely endangered,10000,36.7544,-98.3569,United States of America
Dalecarlian,Definitely endangered,10000,61.2385,14.0295,Sweden
"Huitoto (Colombia, Peru)",Definitely endangered,10000,-3.0308,-71.8066,"Colombia, Peru"
Hulaula (Israel),Severely endangered,10000,32.2128,34.9118,Israel
Karang,Vulnerable,10000,8.3093,15.3588,Chad
Karelian (Tver),Definitely endangered,10000,58.1533,36.101,Russia
Karone,Vulnerable,10000,12.7769,-16.7733,Senegal
Kryz,Severely endangered,10000,41.1455,48.164,Azerbaijan
"Kurripako (Colombia, Venezuela)",Definitely endangered,10000,2.3723,-67.5659,"Colombia, Venezuela"
Kurtöp,Vulnerable,10000,27.7127,90.9667,Bhutan
Lamgang,Critically endangered,10000,24.2569,94.0759,India
Miqie,Definitely endangered,10000,26.9053,100.8506,China
Mojo,Definitely endangered,10000,-14.966,-65.1708,Bolivia
Muot,Critically endangered,10000,8.0932,93.4963,India
Naiki,Critically endangered,10000,19.8287,78.2281,India
Ñandeva Guarani,Vulnerable,10000,-22.0652,-54.7558,Brazil
Ngwaba,Severely endangered,10000,9.9904,12.81,Nigeria
North Frisian,Severely endangered,10000,54.7341,8.7478,Germany
Northern Khanty,Definitely endangered,10000,63.7047,66.676,Russia
