Country,Name,Status,Speakers,Latitude,Longitude
Israel,Judezmo (Israel),Severely endangered,400000,32.0872,34.7737
China,Lalo,Vulnerable,400000,25.383,99.9426
France,Limousin,Severely endangered,400000,46.0579,1.8017
Italy,Logudorese,Definitely endangered,400000,40.1116,9.1845
Chile,Mapuche (Chile),Definitely endangered,400000,-38.5653,-73.081
Mexico,Central Náhuatl,Vulnerable,395581,19.191,-99.0236
Germany,Moselle Franconian,Vulnerable,390000,49.6071,6.1248
Belgium,Moselle Franconian,Vulnerable,390000,49.6071,6.1248
France,Moselle Franconian,Vulnerable,390000,49.6071,6.1248
Luxembourg,Moselle Franconian,Vulnerable,390000,49.6071,6.1248
Nepal,Bantawa,Vulnerable,371056,27.0994,87.0048
China,Santa,Vulnerable,360000,35.5411,102.7935
Georgia,Mingrelian,Definitely endangered,350000,42.4599,41.7205
Netherlands,West Frisian,Vulnerable,350000,53.1006,5.6579
Nepal,Gurung,Definitely endangered,338925,28.275,84.1782
Colombia,Guajiro,Vulnerable,318500,11.8673,-71.9824
Venezuela,Guajiro,Vulnerable,318500,11.8673,-71.9824
Russia,Karachay-Balkar,Vulnerable,302748,44.2137,42.8466
Iraq,Adyge,Vulnerable,300000,44.9181,39.7485
Israel,Adyge,Vulnerable,300000,44.9181,39.7485
Jordan,Adyge,Vulnerable,300000,44.9181,39.7485
Macedonia,Adyge,Vulnerable,300000,44.9181,39.7485
Russia,Adyge,Vulnerable,300000,44.9181,39.7485
Syria,Adyge,Vulnerable,300000,44.9181,39.7485
Turkey,Adyge,Vulnerable,300000,44.9181,39.7485
Russia,Buryat (Trans-Baikal),Definitely endangered,300000,50.8336,109.5117
India,Kurru,Definitely endangered,300000,16.6151,81.6284
India,Kuvi,Definitely endangered,300000,18.9478,83.5839
India,Limbu,Definitely endangered,300000,27.096,87.7356
Nepal,Limbu,Definitely endangered,300000,27.096,87.7356
Israel,Moroccan Judeo-Arabic (Israel),Definitely endangered,300000,32.0476,34.7552
Ukraine,Plautdietsch,Definitely endangered,300000,47.0738,35.5545
Armenia,Pontic Greek,Definitely endangered,300000,40.847,40.0149
Georgia,Pontic Greek,Definitely endangered,300000,40.847,40.0149
Greece,Pontic Greek,Definitely endangered,300000,40.847,40.0149
Russia,Pontic Greek,Definitely endangered,300000,40.847,40.0149
Turkey,Pontic Greek,Definitely endangered,300000,40.847,40.0149
Ukraine,Pontic Greek,Definitely endangered,300000,40.847,40.0149
Ecuador,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Definitely endangered,300000,-1.8673,-78.9257
China,Waxiang,Vulnerable,300000,28.5652,110.3576
China,Oyrat,Definitely endangered,280000,46.195,88.7255
Kyrgyzstan,Oyrat,Definitely endangered,280000,46.195,88.7255
Mongolia,Oyrat,Definitely endangered,280000,46.195,88.7255
India,Garhwali,Vulnerable,279500,30.0976,79.1235
Nigeria,Bade,Vulnerable,250000,12.801,11.1181
France,Breton,Severely endangered,250000,48.2246,-3.9331
Spain,Gascon,Definitely endangered,250000,43.1811,-0.1428
France,Gascon,Definitely endangered,250000,43.1811,-0.1428
China,Phula (China),Vulnerable,250000,22.6001,104.0004
India,Sora,Vulnerable,250000,19.1244,83.2104
India,Konyak,Vulnerable,248000,26.9367,95.1745
India,Ao,Vulnerable,243000,26.4361,94.6472
China,Tuvan,Vulnerable,242754,51.7134,94.3945
Mongolia,Tuvan,Vulnerable,242754,51.7134,94.3945
Russia,Tuvan,Vulnerable,242754,51.7134,94.3945
Libya,Nafusi,Severely endangered,240000,32.6393,13.4252
Armenia,Suret,Definitely endangered,240000,36.4477,43.2971
Iran,Suret,Definitely endangered,240000,36.4477,43.2971
Iraq,Suret,Definitely endangered,240000,36.4477,43.2971
Syria,Suret,Definitely endangered,240000,36.4477,43.2971
Turkey,Suret,Definitely endangered,240000,36.4477,43.2971
India,Malto,Definitely endangered,224926,23.7853,85.4736
Pakistan,Khowar,Vulnerable,222800,35.8667,71.7956
Pakistan,Maiya,Vulnerable,220000,35.3151,72.908
Russia,Komi,Definitely endangered,217316,62.3087,51.5917
France,Alpine Provençal,Definitely endangered,200000,44.7467,6.6796
Italy,Alpine Provençal,Definitely endangered,200000,44.7467,6.6796
France,Gallo,Severely endangered,200000,47.931,-2.0544
Nigeria,Gera,Vulnerable,200000,10.5553,10.0579
India,Irula,Vulnerable,200000,11.4369,76.5032
India,Kharia,Vulnerable,200000,21.8003,85.4956
Iran,Khorasani Turk,Vulnerable,200000,36.6596,57.854
India,Korku,Vulnerable,200000,20.3034,80.2441
Russia,Moksha,Definitely endangered,200000,54.1817,43.2751
Iraq,Western Armenian (Middle East),Definitely endangered,200000,33.884,35.5133
Lebanon,Western Armenian (Middle East),Definitely endangered,200000,33.884,35.5133
Syria,Western Armenian (Middle East),Definitely endangered,200000,33.884,35.5133
Cambodia,Western Cham,Vulnerable,200000,12.0333,105.4333
Bhutan,Tshangla,Vulnerable,193000,27.1275,91.9335
China,Tshangla,Vulnerable,193000,27.1275,91.9335
India,Tshangla,Vulnerable,193000,27.1275,91.9335
India,Thado,Vulnerable,191000,24.4521,93.2354
Moldova,Gagauz (Bessarabia),Definitely endangered,180000,46.0922,28.7951
Ukraine,Gagauz (Bessarabia),Definitely endangered,180000,46.0922,28.7951
India,Kului,Definitely endangered,170770,31.4403,77.1487
China,Adi,Vulnerable,170000,28.3527,95.2294
India,Adi,Vulnerable,170000,28.3527,95.2294
India,Lhota,Vulnerable,170000,26.1603,94.3725
India,Nyishi,Vulnerable,170000,27.5277,93.0981
Panama,Ngäbere (Panama),Vulnerable,169130,9.3395,-82.2428
India,Kodagu,Definitely endangered,166187,11.6952,75.9375
France,Corsican,Definitely endangered,160000,42.0819,9.0307
Italy,Corsican,Definitely endangered,160000,42.0819,9.0307
Bhutan,Dzongkha,Vulnerable,160000,27.44,89.6731
Russia,Kalmyk,Definitely endangered,153602,46.2026,45.8239
Russia,Lak,Vulnerable,153373,42.0125,47.2521
Spain,Asturian-Leonese,Definitely endangered,150000,42.7954,-5.6689
Portugal,Asturian-Leonese,Definitely endangered,150000,42.7954,-5.6689
Latvia,Latgalian,Vulnerable,150000,56.1822,27.1362
Russia,Latgalian,Vulnerable,150000,56.1822,27.1362
France,Provençal,Severely endangered,150000,43.5485,6.1083
India,Rabha,Vulnerable,150000,25.9284,90.9777
Algeria,Tamzabit,Vulnerable,150000,32.4816,3.6694
China,Sherpa,Vulnerable,143693,27.739,86.839
India,Sherpa,Vulnerable,143693,27.739,86.839
Nepal,Sherpa,Vulnerable,143693,27.739,86.839
India,Tangkhul,Vulnerable,142000,25.0358,94.4824
Guatemala,Q'aanjob'al,Vulnerable,139830,15.6019,-91.4441
India,Badaga,Definitely endangered,134514,11.3642,76.5266
India,Angami,Vulnerable,132000,25.7553,94.1308
Georgia,Laz,Definitely endangered,130000,41.2736,41.2646
Turkey,Laz,Definitely endangered,130000,41.2736,41.2646
